gene,uniprot,family,chembl_id,smiles,assay_type,value_nm,pchembl,source,pKd
AKT1,P31749,AKT,CHEMBL382914,CCNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,IC50,163.0,6.79,ChEMBL,6.79
AKT1,P31749,AKT,CHEMBL202787,CNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,IC50,176.0,6.75,ChEMBL,6.75
AKT1,P31749,AKT,CHEMBL381075,Nc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,IC50,121.0,6.92,ChEMBL,6.92
AKT1,P31749,AKT,CHEMBL381260,N[C@H](COc1cncc(/C=C/c2ccnc(SCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12,IC50,3110.0,5.51,ChEMBL,5.51
AKT1,P31749,AKT,CHEMBL203483,N[C@H](COc1cncc(/C=C/c2ccnc(Sc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12,IC50,6350.0,5.2,ChEMBL,5.2
AKT1,P31749,AKT,CHEMBL378823,N[C@H](COc1cncc(/C=C/c2ccnc(Oc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12,IC50,6450.0,5.19,ChEMBL,5.19
AKT1,P31749,AKT,CHEMBL377294,COc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1,IC50,2670.0,5.57,ChEMBL,5.57
AKT1,P31749,AKT,CHEMBL203004,N[C@H](COc1ccc(/C=C/c2ccncc2)cn1)Cc1ccccc1,IC50,43010.0,4.37,ChEMBL,4.37
AKT1,P31749,AKT,CHEMBL206654,N[C@H](COc1cccc(/C=C/c2ccncc2)n1)Cc1c[nH]c2ccccc12,IC50,23270.0,4.63,ChEMBL,4.63
AKT1,P31749,AKT,CHEMBL202937,Cn1cc(C(CN)c2cncc(/C=C/c3ccncc3)c2)c2ccccc21,IC50,760.0,6.12,ChEMBL,6.12
AKT1,P31749,AKT,CHEMBL383254,NCC(c1ccccc1)c1cncc(/C=C/c2ccncc2)c1,IC50,284.0,6.55,ChEMBL,6.55
AKT1,P31749,AKT,CHEMBL206328,Brc1ccc(/C=C/CNCCOc2cncc(/C=C/c3ccncc3)c2)cc1,IC50,32250.0,4.49,ChEMBL,4.49
AKT1,P31749,AKT,CHEMBL383527,N[C@@H](Cc1cccc2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1,IC50,668.0,6.17,ChEMBL,6.17
AKT1,P31749,AKT,CHEMBL205514,N[C@@H](Cc1ccccc1)C(=O)Nc1cncc(/C=C/c2ccncc2)c1,IC50,3200.0,5.5,ChEMBL,5.5
AKT1,P31749,AKT,CHEMBL205415,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1,IC50,278.0,6.56,ChEMBL,6.56
AKT1,P31749,AKT,CHEMBL203624,N[C@H](CNc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,9.7,8.01,ChEMBL,8.01
AKT1,P31749,AKT,CHEMBL381703,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)CC1CNc2ccccc21,IC50,79.0,7.1,ChEMBL,7.1
AKT1,P31749,AKT,CHEMBL203384,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,19.0,7.72,ChEMBL,7.72
AKT1,P31749,AKT,CHEMBL203329,N[C@H](CCc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,198.0,6.7,ChEMBL,6.7
AKT1,P31749,AKT,CHEMBL380958,OC(COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,24010.0,4.62,ChEMBL,4.62
AKT1,P31749,AKT,CHEMBL202893,CN(C)[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,1100.0,5.96,ChEMBL,5.96
AKT1,P31749,AKT,CHEMBL204012,Cn1cc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c2ccccc21,IC50,500.0,6.3,ChEMBL,6.3
AKT1,P31749,AKT,CHEMBL206198,N[C@H](COc1cc(/C=C/c2ccncc2)cnc1Cl)Cc1c[nH]c2ccccc12,IC50,273.0,6.56,ChEMBL,6.56
AKT1,P31749,AKT,CHEMBL379914,N[C@H](COc1cnc(Cl)c(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,23.0,7.64,ChEMBL,7.64
AKT1,P31749,AKT,CHEMBL381808,N[C@@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,360.0,6.44,ChEMBL,6.44
AKT1,P31749,AKT,CHEMBL383541,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,IC50,14.0,7.85,ChEMBL,7.85
AKT1,P31749,AKT,CHEMBL206183,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1csc2ccccc12,IC50,142.0,6.85,ChEMBL,6.85
AKT1,P31749,AKT,CHEMBL381328,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccc2ccccc2c1,IC50,146.0,6.84,ChEMBL,6.84
AKT1,P31749,AKT,CHEMBL205871,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc2ccccc12,IC50,324.0,6.49,ChEMBL,6.49
AKT1,P31749,AKT,CHEMBL205410,N#Cc1cccc(C[C@H](N)COc2cncc(/C=C/c3ccncc3)c2)c1,IC50,320.0,6.5,ChEMBL,6.5
AKT1,P31749,AKT,CHEMBL203685,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1cccc(O)c1,IC50,875.0,6.06,ChEMBL,6.06
AKT1,P31749,AKT,CHEMBL206236,N[C@@H](COCc1ccccc1)COc1cncc(/C=C/c2ccncc2)c1,IC50,4040.0,5.39,ChEMBL,5.39
AKT1,P31749,AKT,CHEMBL381829,N[C@@H](CCc1ccccc1)COc1cncc(/C=C/c2ccncc2)c1,IC50,8020.0,5.1,ChEMBL,5.1
AKT1,P31749,AKT,CHEMBL203434,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)C(c1ccccc1)c1ccccc1,IC50,6760.0,5.17,ChEMBL,5.17
AKT1,P31749,AKT,CHEMBL203673,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1ccccc1,IC50,690.0,6.16,ChEMBL,6.16
AKT1,P31749,AKT,CHEMBL205645,C(=C/c1cncc(OC[C@@H]2CCCN2)c1)\c1ccncc1,IC50,23910.0,4.62,ChEMBL,4.62
